Response,Model,Variable,Estimate,lower CI,upper CI,p,dataset,model description
evi,H4,Control,0.07,0.06,0.081,0,PA,Trend ~ Protection (PA mean)
evi,H4,"Strictly
Protected",0.06,0.049,0.07,0,PA,Trend ~ Protection (PA mean)
evi,H6,Intercept,0.053,0.042,0.063,0,PA,Trend ~ PA Characteristics (PA median)
evi,H6,PA Area,-0.005,-0.009,-0.002,0.0012,PA,Trend ~ PA Characteristics (PA median)
evi,H6,PA Age,-0.003,-0.006,0.001,0.1445,PA,Trend ~ PA Characteristics (PA median)
burned_area,H4,Control,-0.005,-0.014,0.005,0.3518,PA,Trend ~ Protection (PA mean)
burned_area,H4,"Strictly
Protected",-0.009,-0.019,0.001,0.0816,PA,Trend ~ Protection (PA mean)
burned_area,H6,Intercept,-0.051,-0.071,-0.032,0,PA,Trend ~ PA Characteristics (PA median)
burned_area,H6,PA Area,-0.017,-0.024,-0.01,0,PA,Trend ~ PA Characteristics (PA median)
burned_area,H6,PA Age,-0.001,-0.01,0.007,0.7456,PA,Trend ~ PA Characteristics (PA median)
greenup,H4,Control,-0.04,-0.078,-0.001,0.0428,PA,Trend ~ Protection (PA mean)
greenup,H4,"Strictly
Protected",-0.009,-0.048,0.03,0.6675,PA,Trend ~ Protection (PA mean)
greenup,H6,Intercept,0.009,-0.057,0.075,0.7894,PA,Trend ~ PA Characteristics (PA median)
greenup,H6,PA Area,0.02,-0.005,0.044,0.1106,PA,Trend ~ PA Characteristics (PA median)
greenup,H6,PA Age,-0.008,-0.037,0.021,0.5723,PA,Trend ~ PA Characteristics (PA median)
