term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,model,t.stat
(Intercept),6.48362650662281,0.536607954791773,1.94149989250075e-33,5.43187491523093,7.53537809801468,significant,,H1,
(Intercept),6.25978506257343,0.543217286608531,1.39711111761192e-30,5.19507918082071,7.32449094432615,significant,,H2,
nitrogen_depo,1.28927350409936,0.330086216819821,9.43462741149602e-05,0.642304519132516,1.93624248906621,significant,,H2,
mat_coef,-0.0679328501906501,0.487397457938751,0.88915294671193,-1.0232318677506,0.887366167369302,non-significant,,H2,
max_temp_coef,0.0869439700855786,0.400552809644362,0.828164921521092,-0.698139536817372,0.872027476988529,non-significant,,H2,
map_coef,0.49638618426273,0.289717889031014,0.0866724489930056,-0.071460878238057,1.06423324676352,non-significant,,H2,
human_modification,0.0216990707831076,0.185594630331746,0.906927984007245,-0.342066404667115,0.38546454623333,non-significant,,H2,
super_biomecold_short,5.77183133311161,0.90450048953184,1.81412332979089e-10,3.9990103736292,7.54465229259402,significant,,H3,
super_biomecold_tall,5.99551072621217,0.797833403579003,6.06159392684356e-14,4.43175725519733,7.55926419722702,significant,,H3,
super_biomenot_cold_short,6.78915483601054,0.715545103031084,2.74220803010387e-21,5.38668643406961,8.19162323795146,significant,,H3,
super_biomenot_cold_tall,6.80962249691836,0.647930111404343,9.79061138510281e-26,5.53967947856585,8.07956551527087,significant,,H3,
protection_cat_broadcontrol,7.00401017352061,0.544824410468301,1.33083615236435e-37,5.93615432900274,8.07186601803848,significant,,H4,
protection_cat_broadstrictly_protected,5.93738002690365,0.548528667921856,3.41954656886654e-27,4.86226383777681,7.01249621603048,significant,,H4,
protection_cat_broadcontrol,11.6195130227933,0.37878444345341,8.01999624848586e-200,10.8770955136246,12.361930531962,significant,,H4.1,
protection_cat_broadstrictly_protected,10.1211998721336,0.382027084723672,8.05208540571354e-151,9.37242678607518,10.869972958192,significant,,H4.1,
(Intercept),6.87561460847963,0.591447869396687,6.58825168367206e-31,5.71637678446212,8.03485243249714,significant,,H5,
area_km2_log,-0.483845186954655,0.216944562623227,0.0257663657477587,-0.90905652969618,-0.05863384421313,significant,,H5,
pa_age_log,-0.506966401197766,0.214780018398922,0.0182872020789122,-0.927935237259653,-0.0859975651358794,significant,,H5,
(Intercept),11.0043258473347,0.410933115521013,2.63550461586575e-149,10.1988969409135,11.8097547537559,significant,,H5.1,
area_km2_log,-1.06954555093373,0.16673462062591,1.51942842318522e-10,-1.39634540736052,-0.742745694506951,significant,,H5.1,
pa_age_log,-0.137314944288798,0.171980737241309,0.424651435447877,-0.474397189281763,0.199767300704167,non-significant,,H5.1,
(Intercept),4.73579764247727,0.922275068152597,2.91227972461646e-07,2.92813850889818,6.54345677605636,significant,,cold_tall,
nitrogen_depo,1.95999107120178,0.624405258515338,0.00170367767428534,0.736156764511716,3.18382537789184,significant,,cold_tall,
mat_coef,1.28729912196894,0.871649617977729,0.139767555000609,-0.421134129267411,2.99573237320529,non-significant,,cold_tall,
max_temp_coef,-0.00631671037647493,0.572923447607412,0.991203549909879,-1.129246667687,1.11661324693405,non-significant,,cold_tall,
map_coef,0.656022027012733,0.991300839945672,0.508138441511343,-1.28692761928078,2.59897167330625,non-significant,,cold_tall,
human_modification,-0.410250868903131,0.214617226410008,0.05598217841798,-0.830900632666747,0.0103988948604849,non-significant,,cold_tall,
(Intercept),5.01451170115329,0.686562689347879,5.19533170198721e-13,3.66884883003145,6.36017457227513,significant,,cold_short,
nitrogen_depo,0.52595010941899,0.639969287298042,0.411339286211133,-0.728389693685172,1.78028991252315,non-significant,,cold_short,
mat_coef,1.34426269558894,0.569216819370176,0.0183611990124708,0.228597729623399,2.45992766155449,significant,,cold_short,
max_temp_coef,-0.393058998193697,0.425486439795676,0.355789646429618,-1.22701242019322,0.440894423805829,non-significant,,cold_short,
map_coef,0.206265202136372,0.728873006955162,0.777233620723145,-1.22232589149575,1.63485629576849,non-significant,,cold_short,
human_modification,-0.262665472423789,0.373818939859471,0.482412579694638,-0.995350594548352,0.470019649700773,non-significant,,cold_short,
(Intercept),6.25649342360087,0.7359919481086,2.59598763589906e-17,4.81394920530801,7.69903764189372,significant,,not_cold_tall,
nitrogen_depo,1.11063808843617,0.30600779510609,0.000287469600405189,0.51086281002823,1.7104133668441,significant,,not_cold_tall,
mat_coef,-0.445243354248026,0.640584999751696,0.487058394180606,-1.70078995376135,0.810303245265298,non-significant,,not_cold_tall,
max_temp_coef,-0.104915948178613,0.446250191418636,0.814138368936996,-0.97956632335914,0.769734427001914,non-significant,,not_cold_tall,
map_coef,0.14301316251365,0.231423695434024,0.53662841915388,-0.310577280537037,0.596603605564336,non-significant,,not_cold_tall,
human_modification,0.298139481005133,0.244160128982242,0.222124715999983,-0.180414371800062,0.776693333810329,non-significant,,not_cold_tall,
(Intercept),5.73727023338737,0.746297118886857,2.0986987792565e-14,4.27452788036913,7.20001258640561,significant,,not_cold_short,
nitrogen_depo,1.5373729749081,0.475378518763682,0.00123575231312644,0.605631078131283,2.46911487168492,significant,,not_cold_short,
mat_coef,-0.835658642600136,0.722215199366258,0.247345518227512,-2.251200433358,0.57988314815773,non-significant,,not_cold_short,
max_temp_coef,1.26219515913568,0.521240391089267,0.0155226149854175,0.240563992600713,2.28382632567064,significant,,not_cold_short,
map_coef,-0.147168848672227,0.405338347707624,0.716576758152366,-0.94163201017917,0.647294312834715,non-significant,,not_cold_short,
human_modification,-0.0365196770166575,0.22560648416068,0.871417973403521,-0.478708385971589,0.405669031938274,non-significant,,not_cold_short,
